url,title,date,content_raw,content_lower,content_nopunct,text_before_stop,text_after_stop,text_lemmatized,wc_raw,wc_nopunct,wc_before,wc_after
https://www.emirates.com/media-centre/the-emirates-app-now-launches-on-iphone-opening-the-door-to-an-enhanced-travel-experience/,"‘The Emirates App’ now launches on iPhone, opening the door to an enhanced travel experience",2014-11-16,"Dubai, UAE, 16 November 2014 – Building on the successful launch of The Emirates App for iPad earlier this year, Emirates airline has now increased its mobile presence with the launch of The Emirates App for iPhone on the App Store. Already the most popular travel app in 25 countries with a 4.5 star rating, The Emirates App for iPhone has enhanced features such as the ability to check-in and download boarding passes directly to Passbook. The app also features push notifications for check-in, flight boarding, gate changes, and baggage belt numbers, greatly improving the travel experience by proactively alerting customers to critical travel information. Customers can directly download the app or visit the App Store and search for ‘Emirates’. The Emirates App for iPhone also makes it easier for Emirates customers to manage every aspect of their booking, whether on the road, in the air, or in the comfort of their homes. They can book flights, select seats and meals, manage their Emirates Skywards frequent flyer accounts, check in online, and download their boarding pass directly from the app, amongst other features. Personal flight details, credit card information, and product and service information are stored in the app, so users can view it offline too. “There is no doubt that our customers increasingly want to use their mobile devices and tablets to book and manage their travel. The Emirates App has been designed to address their needs, and make it easier and more convenient to interact with Emirates via their mobile devices,” said Boutros Boutros, Divisional Senior Vice President Corporate Communications, Marketing and Brand at Emirates. “We have seen tremendously positive response to both our iPad and iPhone apps to date. Downloads and usage figures continue to rise, and feedback has been good. iPhone represents the majority of the mobile traffic to our websites, and therefore we have launched on iOS first. Work is underway for an Android version, even as we continue to look at new features for our iPad and iPhone apps.” With The Emirates App, users can book flights and view their personal travel itinerary on the go, store and use their boarding pass offline with Passbook integration, get push alerts for chauffeur-drive service, flight boarding, seat selection, gate changes, baggage belt numbers (Dubai), and check-in, manage every aspect of their booking from seat selection to dietary requirements, book complimentary Chauffeur-drive service for First Class and Business Class travellers, and register for Emirates Skywards membership through the app to start collecting Skywards Miles, view their balance and history, and use their Miles to pay for flights and upgrades.",dubai uae 16 november 2014 – building on the successful launch of the emirates app for ipad earlier this year emirates airline has now increased its mobile presence with the launch of the emirates app for iphone on the app store already the most popular travel app in 25 countries with a 4 5 star rating the emirates app for iphone has enhanced features such as the ability to check in and download boarding passes directly to passbook the app also features push notifications for check in flight boarding gate changes and baggage belt numbers greatly improving the travel experience by proactively alerting customers to critical travel information customers can directly download the app or visit the app store and search for ‘emirates’ the emirates app for iphone also makes it easier for emirates customers to manage every aspect of their booking whether on the road in the air or in the comfort of their homes they can book flights select seats and meals manage their emirates skywards frequent flyer accounts check in online and download their boarding pass directly from the app amongst other features personal flight details credit card information and product and service information are stored in the app so users can view it offline too “there is no doubt that our customers increasingly want to use their mobile devices and tablets to book and manage their travel the emirates app has been designed to address their needs and make it easier and more convenient to interact with emirates via their mobile devices ” said boutros boutros divisional senior vice president corporate communications marketing and brand at emirates “we have seen tremendously positive response to both our ipad and iphone apps to date downloads and usage figures continue to rise and feedback has been good iphone represents the majority of the mobile traffic to our websites and therefore we have launched on ios first work is underway for an android version even as we continue to look at new features for our ipad and iphone apps ” with the emirates app users can book flights and view their personal travel itinerary on the go store and use their boarding pass offline with passbook integration get push alerts for chauffeur drive service flight boarding seat selection gate changes baggage belt numbers dubai and check in manage every aspect of their booking from seat selection to dietary requirements book complimentary chauffeur drive service for first class and business class travellers and register for emirates skywards membership through the app to start collecting skywards miles view their balance and history and use their miles to pay for flights and upgrades,dubai uae    november        building on the successful launch of the emirates app for ipad earlier this year emirates airline has now increased its mobile presence with the launch of the emirates app for iphone on the app store already the most popular travel app in    countries with a     star rating the emirates app for iphone has enhanced features such as the ability to check in and download boarding passes directly to passbook the app also features push notifications for check in flight boarding gate changes and baggage belt numbers greatly improving the travel experience by proactively alerting customers to critical travel information customers can directly download the app or visit the app store and search for  emirates  the emirates app for iphone also makes it easier for emirates customers to manage every aspect of their booking whether on the road in the air or in the comfort of their homes they can book flights select seats and meals manage their emirates skywards frequent flyer accounts check in online and download their boarding pass directly from the app amongst other features personal flight details credit card information and product and service information are stored in the app so users can view it offline too  there is no doubt that our customers increasingly want to use their mobile devices and tablets to book and manage their travel the emirates app has been designed to address their needs and make it easier and more convenient to interact with emirates via their mobile devices   said boutros boutros divisional senior vice president corporate communications marketing and brand at emirates  we have seen tremendously positive response to both our ipad and iphone apps to date downloads and usage figures continue to rise and feedback has been good iphone represents the majority of the mobile traffic to our websites and therefore we have launched on ios first work is underway for an android version even as we continue to look at new features for our ipad and iphone apps   with the emirates app users can book flights and view their personal travel itinerary on the go store and use their boarding pass offline with passbook integration get push alerts for chauffeur drive service flight boarding seat selection gate changes baggage belt numbers dubai and check in manage every aspect of their booking from seat selection to dietary requirements book complimentary chauffeur drive service for first class and business class travellers and register for emirates skywards membership through the app to start collecting skywards miles view their balance and history and use their miles to pay for flights and upgrades,dubai uae 16 november 2014 – building on the successful launch of the emirates app for ipad earlier this year emirates airline has now increased its mobile presence with the launch of the emirates app for iphone on the app store already the most popular travel app in 25 countries with a 4 5 star rating the emirates app for iphone has enhanced features such as the ability to check in and download boarding passes directly to passbook the app also features push notifications for check in flight boarding gate changes and baggage belt numbers greatly improving the travel experience by proactively alerting customers to critical travel information customers can directly download the app or visit the app store and search for ‘ emirates ’ the emirates app for iphone also makes it easier for emirates customers to manage every aspect of their booking whether on the road in the air or in the comfort of their homes they can book flights select seats and meals manage their emirates skywards frequent flyer accounts check in online and download their boarding pass directly from the app amongst other features personal flight details credit card information and product and service information are stored in the app so users can view it offline too “ there is no doubt that our customers increasingly want to use their mobile devices and tablets to book and manage their travel the emirates app has been designed to address their needs and make it easier and more convenient to interact with emirates via their mobile devices ” said boutros boutros divisional senior vice president corporate communications marketing and brand at emirates “ we have seen tremendously positive response to both our ipad and iphone apps to date downloads and usage figures continue to rise and feedback has been good iphone represents the majority of the mobile traffic to our websites and therefore we have launched on ios first work is underway for an android version even as we continue to look at new features for our ipad and iphone apps ” with the emirates app users can book flights and view their personal travel itinerary on the go store and use their boarding pass offline with passbook integration get push alerts for chauffeur drive service flight boarding seat selection gate changes baggage belt numbers dubai and check in manage every aspect of their booking from seat selection to dietary requirements book complimentary chauffeur drive service for first class and business class travellers and register for emirates skywards membership through the app to start collecting skywards miles view their balance and history and use their miles to pay for flights and upgrades,dubai uae november building successful launch emirates app ipad earlier year emirates airline increased mobile presence launch emirates app iphone app store already popular travel app countries star rating emirates app iphone enhanced features ability check download boarding passes directly passbook app also features push notifications check flight boarding gate changes baggage belt numbers greatly improving travel experience proactively alerting customers critical travel information customers directly download app visit app store search emirates emirates app iphone also makes easier emirates customers manage every aspect booking whether road air comfort homes book flights select seats meals manage emirates skywards frequent flyer accounts check online download boarding pass directly app amongst features personal flight details credit card information product service information stored app users view offline doubt customers increasingly want use mobile devices tablets book manage travel emirates app designed address needs make easier convenient interact emirates via mobile devices boutros boutros divisional senior vice president corporate communications marketing brand emirates seen tremendously positive response ipad iphone apps date downloads usage figures continue rise feedback good iphone represents majority mobile traffic websites therefore launched ios first work underway android version even continue look new features ipad iphone apps emirates app users book flights view personal travel itinerary go store use boarding pass offline passbook integration get push alerts chauffeur drive service flight boarding seat selection gate changes baggage belt numbers dubai check manage every aspect booking seat selection dietary requirements book complimentary chauffeur drive service first class business class travellers register emirates skywards membership app start collecting skywards miles view balance history use miles pay flights upgrades,dubai uae november building successful launch emirates app ipad earlier year emirates airline increase mobile presence launch emirates app iphone app store already popular travel app country star rating emirate app iphone enhance feature ability check download boarding pass directly passbook app also feature push notification check flight board gate change baggage belt number greatly improve travel experience proactively alert customer critical travel information customer directly download app visit app store search emirates emirate app iphone also make easy emirates customer manage every aspect book whether road air comfort home book flight select seat meal manage emirates skywards frequent flyer account check online download board pas directly app amongst feature personal flight detail credit card information product service information store app user view offline doubt customer increasingly want use mobile device tablet book manage travel emirates app design address need make easy convenient interact emirates via mobile device boutros boutros divisional senior vice president corporate communication market brand emirate see tremendously positive response ipad iphone apps date downloads usage figure continue rise feedback good iphone represent majority mobile traffic websites therefore launched io first work underway android version even continue look new feature ipad iphone apps emirates app user book flight view personal travel itinerary go store use board pas offline passbook integration get push alert chauffeur drive service flight board seat selection gate change baggage belt number dubai check manage every aspect book seat selection dietary requirement book complimentary chauffeur drive service first class business class traveller register emirates skywards membership app start collect skywards mile view balance history use mile pay flight upgrade,432,432,444,265
https://www.emirates.com/media-centre/emirates-expands-its-mobile-footprint-launches-an-android-app,"Emirates expands its mobile footprint, launches an Android app",2015-05-18,"The Emirates App now available on the world’s largest mobile platform. Key milestone for Emirates as it continues its charge in the mobile app space. Gives passengers more control over their travel experience. DUBAI, UAE, 18th May, 2015 – On the heels of the successful launch of its Apple Watch app, Emirates announced today the debut of the Emirates App for Android, the world’s largest mobile platform. With more than one hundred thousand monthly users of its iPhone, iPad and Apple Watch apps, Emirates is ramping up its efforts to enhance its passengers’ travel experience through mobile technologies. Developed in-house, the Emirates App for Android is a true personal journey planner, enabling users to book flights and review travel itineraries, manage every aspect of a booking from seat selection to on-board menu and what’s on ice, download their boarding pass directly to Google Now or send it to a phone via SMS or email, receive quick updates on flight boarding and gate changes, get notifications about the Chauffeur-drive service, verify the status of a flight and sign up for alerts to know when it has departed or arrived, and manage all the details of their Skywards account such as favourite destinations, aisle or window seats, and preferred newspaper. ""Our passengers are mobile and increasingly reliant on mobile devices to stay connected, no matter where they are in the world,"" said Alex Knigge, Emirates’ Senior Vice President – Digital. ""We believe the right mobile technology can significantly improve our customers' experience. As a result, Emirates’ mobile strategy is aggressive and a key element of our digital roadmap. We aim to be trail blazers in the airline industry when it comes to mobile technologies."" During the development of the Android app, Emirates conducted testing with employees and Skywards members. Feedback from these users was instrumental in fine tuning the overall experience. ""With the popularity of Emirates' first app for iPhone, many customers have asked for the Emirates App for Android. In fact, half of all users who access our website via mobile devices are on the Android platform,"" commented Alex Knigge, Emirates’ Senior Vice President - Digital. ""Not only does this meet the needs of many of our customers while they're on the move, it also paves the way for innovation on other devices that use the Android platform."" Emirates continues to enhance its existing apps and develop new technologies that will benefit customers using a variety of mobile devices. For customers on-the-go who do not have iPhones, iPads or Android devices, Emirates also offers mobile.emirates.com as a mobile solution. Customers can download the free app from the Android Market. To download the app, please visit https://play.google.com/store/apps/details?id=com.emirates.ek.android. For more information, please visit http://www.emirates.com/english/flying/emirates-app/index.aspx.",the emirates app now available on the world’s largest mobile platform key milestone for emirates as it continues its charge in the mobile app space gives passengers more control over their travel experience dubai uae 18th may 2015 – on the heels of the successful launch of its apple watch app emirates announced today the debut of the emirates app for android the world’s largest mobile platform with more than one hundred thousand monthly users of its iphone ipad and apple watch apps emirates is ramping up its efforts to enhance its passengers’ travel experience through mobile technologies developed in house the emirates app for android is a true personal journey planner enabling users to book flights and review travel itineraries manage every aspect of a booking from seat selection to on board menu and what’s on ice download their boarding pass directly to google now or send it to a phone via sms or email receive quick updates on flight boarding and gate changes get notifications about the chauffeur drive service verify the status of a flight and sign up for alerts to know when it has departed or arrived and manage all the details of their skywards account such as favourite destinations aisle or window seats and preferred newspaper our passengers are mobile and increasingly reliant on mobile devices to stay connected no matter where they are in the world said alex knigge emirates’ senior vice president – digital we believe the right mobile technology can significantly improve our customers experience as a result emirates’ mobile strategy is aggressive and a key element of our digital roadmap we aim to be trail blazers in the airline industry when it comes to mobile technologies during the development of the android app emirates conducted testing with employees and skywards members feedback from these users was instrumental in fine tuning the overall experience with the popularity of emirates first app for iphone many customers have asked for the emirates app for android in fact half of all users who access our website via mobile devices are on the android platform commented alex knigge emirates’ senior vice president digital not only does this meet the needs of many of our customers while they re on the move it also paves the way for innovation on other devices that use the android platform emirates continues to enhance its existing apps and develop new technologies that will benefit customers using a variety of mobile devices for customers on the go who do not have iphones ipads or android devices emirates also offers mobile emirates com as a mobile solution customers can download the free app from the android market to download the app please visit for more information please visit,the emirates app now available on the world s largest mobile platform key milestone for emirates as it continues its charge in the mobile app space gives passengers more control over their travel experience dubai uae   th may        on the heels of the successful launch of its apple watch app emirates announced today the debut of the emirates app for android the world s largest mobile platform with more than one hundred thousand monthly users of its iphone ipad and apple watch apps emirates is ramping up its efforts to enhance its passengers  travel experience through mobile technologies developed in house the emirates app for android is a true personal journey planner enabling users to book flights and review travel itineraries manage every aspect of a booking from seat selection to on board menu and what s on ice download their boarding pass directly to google now or send it to a phone via sms or email receive quick updates on flight boarding and gate changes get notifications about the chauffeur drive service verify the status of a flight and sign up for alerts to know when it has departed or arrived and manage all the details of their skywards account such as favourite destinations aisle or window seats and preferred newspaper our passengers are mobile and increasingly reliant on mobile devices to stay connected no matter where they are in the world said alex knigge emirates  senior vice president   digital we believe the right mobile technology can significantly improve our customers experience as a result emirates  mobile strategy is aggressive and a key element of our digital roadmap we aim to be trail blazers in the airline industry when it comes to mobile technologies during the development of the android app emirates conducted testing with employees and skywards members feedback from these users was instrumental in fine tuning the overall experience with the popularity of emirates first app for iphone many customers have asked for the emirates app for android in fact half of all users who access our website via mobile devices are on the android platform commented alex knigge emirates  senior vice president digital not only does this meet the needs of many of our customers while they re on the move it also paves the way for innovation on other devices that use the android platform emirates continues to enhance its existing apps and develop new technologies that will benefit customers using a variety of mobile devices for customers on the go who do not have iphones ipads or android devices emirates also offers mobile emirates com as a mobile solution customers can download the free app from the android market to download the app please visit for more information please visit,the emirates app now available on the world ’ s largest mobile platform key milestone for emirates as it continues its charge in the mobile app space gives passengers more control over their travel experience dubai uae 18th may 2015 – on the heels of the successful launch of its apple watch app emirates announced today the debut of the emirates app for android the world ’ s largest mobile platform with more than one hundred thousand monthly users of its iphone ipad and apple watch apps emirates is ramping up its efforts to enhance its passengers ’ travel experience through mobile technologies developed in house the emirates app for android is a true personal journey planner enabling users to book flights and review travel itineraries manage every aspect of a booking from seat selection to on board menu and what ’ s on ice download their boarding pass directly to google now or send it to a phone via sms or email receive quick updates on flight boarding and gate changes get notifications about the chauffeur drive service verify the status of a flight and sign up for alerts to know when it has departed or arrived and manage all the details of their skywards account such as favourite destinations aisle or window seats and preferred newspaper our passengers are mobile and increasingly reliant on mobile devices to stay connected no matter where they are in the world said alex knigge emirates ’ senior vice president – digital we believe the right mobile technology can significantly improve our customers experience as a result emirates ’ mobile strategy is aggressive and a key element of our digital roadmap we aim to be trail blazers in the airline industry when it comes to mobile technologies during the development of the android app emirates conducted testing with employees and skywards members feedback from these users was instrumental in fine tuning the overall experience with the popularity of emirates first app for iphone many customers have asked for the emirates app for android in fact half of all users who access our website via mobile devices are on the android platform commented alex knigge emirates ’ senior vice president digital not only does this meet the needs of many of our customers while they re on the move it also paves the way for innovation on other devices that use the android platform emirates continues to enhance its existing apps and develop new technologies that will benefit customers using a variety of mobile devices for customers on the go who do not have iphones ipads or android devices emirates also offers mobile emirates com as a mobile solution customers can download the free app from the android market to download the app please visit for more information please visit,emirates app available world largest mobile platform key milestone emirates continues charge mobile app space gives passengers control travel experience dubai uae may heels successful launch apple watch app emirates announced today debut emirates app android world largest mobile platform one hundred thousand monthly users iphone ipad apple watch apps emirates ramping efforts enhance passengers travel experience mobile technologies developed house emirates app android true personal journey planner enabling users book flights review travel itineraries manage every aspect booking seat selection board menu ice download boarding pass directly google send phone via sms email receive quick updates flight boarding gate changes get notifications chauffeur drive service verify status flight sign alerts know departed arrived manage details skywards account favourite destinations aisle window seats preferred newspaper passengers mobile increasingly reliant mobile devices stay connected matter world alex knigge emirates senior vice president digital believe right mobile technology significantly improve customers experience result emirates mobile strategy aggressive key element digital roadmap aim trail blazers airline industry comes mobile technologies development android app emirates conducted testing employees skywards members feedback users instrumental fine tuning overall experience popularity emirates first app iphone many customers asked emirates app android fact half users access website via mobile devices android platform commented alex knigge emirates senior vice president digital meet needs many customers move also paves way innovation devices use android platform emirates continues enhance existing apps develop new technologies benefit customers using variety mobile devices customers go iphones ipads android devices emirates also offers mobile emirates mobile solution customers download free app android market download app please visit information please visit,emirate app available world large mobile platform key milestone emirates continue charge mobile app space give passenger control travel experience dubai uae may heel successful launch apple watch app emirates announce today debut emirates app android world large mobile platform one hundred thousand monthly user iphone ipad apple watch apps emirates ramp effort enhance passenger travel experience mobile technology develop house emirates app android true personal journey planner enable user book flight review travel itinerary manage every aspect book seat selection board menu ice download board pas directly google send phone via sms email receive quick update flight board gate change get notification chauffeur drive service verify status flight sign alert know depart arrived manage detail skywards account favourite destination aisle window seat prefer newspaper passenger mobile increasingly reliant mobile device stay connect matter world alex knigge emirates senior vice president digital believe right mobile technology significantly improve customer experience result emirate mobile strategy aggressive key element digital roadmap aim trail blazer airline industry come mobile technology development android app emirates conduct test employee skywards member feedback user instrumental fine tune overall experience popularity emirates first app iphone many customer ask emirate app android fact half user access website via mobile device android platform comment alex knigge emirates senior vice president digital meet need many customer move also pave way innovation device use android platform emirates continue enhance exist apps develop new technology benefit customer use variety mobile device customer go iphones ipads android device emirates also offer mobile emirate mobile solution customer download free app android market download app please visit information please visit,451,456,466,265
https://www.emirates.com/media-centre/emirates-app-hits-20-million-downloads-with-strong-mobile-strategy-and-consumer-uptake/,Emirates app hits 20 million downloads with strong mobile strategy and consumer uptake,2020-03-04,"Dubai, UAE, 21 May 2019 – All the features in the Emirates app are now available in Arabic, bringing the total number of languages supported to 19. The Emirates app currently receives an average of 600,000 monthly downloads and allows users to search, book, and manage their flights as well as their Emirates Skywards accounts. Emirates is the only airline globally to have its mobile app available in 19 languages, including Arabic, English, Traditional and Simplified Chinese, Czech, French, German, Greek, Italian, Japanese, Korean, Portuguese (Brazil & Portugal), Polish, Russian, Spanish, Thai, and Turkish. In recent years, the airline has been using analytical and customer behaviour insights to constantly improve its digital channels. Last financial year, a quarter of all ticket sales were made on its web and mobile channels and over 40% of customers checked in online for their flights. “We have worked very hard to ensure our customers enjoy the same high-quality Emirates experience in the digital world as they do when enjoying our award-winning physical product and service. Our app has become a useful travel companion for more than 1.5 million travellers a month and it ensures a seamless customer journey on the go. We will continue to invest in mobile to provide an enjoyable customer experience and to make our customers’ travel journey as seamless as possible,” said Alex Knigge, Senior Vice President, Corporate Communications, Marketing and Brand (Digital). Earlier this year, the Emirates app was enhanced with new technology allowing customers to create bespoke playlists of their inflight entertainment ahead of their travels and sync it to their seats once on board, providing a world-class travel experience. Leveraging cutting-edge digital technologies, the airline has focused on elevating its digital customer experience by leveraging cutting-edge technology. Last year, Emirates introduced 3D seat models, becoming the first airline to introduce web virtual reality (VR) technology on its digital platform. The 3D seat model is a visualisation engine that displays an immersive 3D 360-degree view of the interior of the Emirates A380 and all the Emirates B777 aircraft types, allowing users to navigate through the Economy, Business, and First Class cabins, as well as the iconic Onboard Lounge and Shower Spa on the A380 using navigational hotspots. The airline clinched the ‘Best Digital Strategy’ award for this innovation at this year’s Gulf Customer Experience Awards. The VR technology is being deployed to other functions of the airline, and emirates.com will soon host virtual models of its airport lounges across the world. Emirates’ digital channels continue to push boundaries as it explores more emerging technology and prepares to integrate Artificial Intelligence (AI) to improve the customer experience later this year. The Emirates app is free to download on iOS or Android devices. -End-",dubai uae 21 may 2019 – all the features in the emirates app are now available in arabic bringing the total number of languages supported to 19 the emirates app currently receives an average of 600 000 monthly downloads and allows users to search book and manage their flights as well as their emirates skywards accounts emirates is the only airline globally to have its mobile app available in 19 languages including arabic english traditional and simplified chinese czech french german greek italian japanese korean portuguese brazil portugal polish russian spanish thai and turkish in recent years the airline has been using analytical and customer behaviour insights to constantly improve its digital channels last financial year a quarter of all ticket sales were made on its web and mobile channels and over 40 of customers checked in online for their flights “we have worked very hard to ensure our customers enjoy the same high quality emirates experience in the digital world as they do when enjoying our award winning physical product and service our app has become a useful travel companion for more than 1 5 million travellers a month and it ensures a seamless customer journey on the go we will continue to invest in mobile to provide an enjoyable customer experience and to make our customers’ travel journey as seamless as possible ” said alex knigge senior vice president corporate communications marketing and brand digital earlier this year the emirates app was enhanced with new technology allowing customers to create bespoke playlists of their inflight entertainment ahead of their travels and sync it to their seats once on board providing a world class travel experience leveraging cutting edge digital technologies the airline has focused on elevating its digital customer experience by leveraging cutting edge technology last year emirates introduced 3d seat models becoming the first airline to introduce web virtual reality vr technology on its digital platform the 3d seat model is a visualisation engine that displays an immersive 3d 360 degree view of the interior of the emirates a380 and all the emirates b777 aircraft types allowing users to navigate through the economy business and first class cabins as well as the iconic onboard lounge and shower spa on the a380 using navigational hotspots the airline clinched the ‘best digital strategy’ award for this innovation at this year’s gulf customer experience awards the vr technology is being deployed to other functions of the airline and emirates com will soon host virtual models of its airport lounges across the world emirates’ digital channels continue to push boundaries as it explores more emerging technology and prepares to integrate artificial intelligence ai to improve the customer experience later this year the emirates app is free to download on ios or android devices end,dubai uae    may        all the features in the emirates app are now available in arabic bringing the total number of languages supported to    the emirates app currently receives an average of         monthly downloads and allows users to search book and manage their flights as well as their emirates skywards accounts emirates is the only airline globally to have its mobile app available in    languages including arabic english traditional and simplified chinese czech french german greek italian japanese korean portuguese brazil portugal polish russian spanish thai and turkish in recent years the airline has been using analytical and customer behaviour insights to constantly improve its digital channels last financial year a quarter of all ticket sales were made on its web and mobile channels and over    of customers checked in online for their flights  we have worked very hard to ensure our customers enjoy the same high quality emirates experience in the digital world as they do when enjoying our award winning physical product and service our app has become a useful travel companion for more than     million travellers a month and it ensures a seamless customer journey on the go we will continue to invest in mobile to provide an enjoyable customer experience and to make our customers  travel journey as seamless as possible   said alex knigge senior vice president corporate communications marketing and brand digital earlier this year the emirates app was enhanced with new technology allowing customers to create bespoke playlists of their inflight entertainment ahead of their travels and sync it to their seats once on board providing a world class travel experience leveraging cutting edge digital technologies the airline has focused on elevating its digital customer experience by leveraging cutting edge technology last year emirates introduced  d seat models becoming the first airline to introduce web virtual reality vr technology on its digital platform the  d seat model is a visualisation engine that displays an immersive  d     degree view of the interior of the emirates a    and all the emirates b    aircraft types allowing users to navigate through the economy business and first class cabins as well as the iconic onboard lounge and shower spa on the a    using navigational hotspots the airline clinched the  best digital strategy  award for this innovation at this year s gulf customer experience awards the vr technology is being deployed to other functions of the airline and emirates com will soon host virtual models of its airport lounges across the world emirates  digital channels continue to push boundaries as it explores more emerging technology and prepares to integrate artificial intelligence ai to improve the customer experience later this year the emirates app is free to download on ios or android devices end,dubai uae 21 may 2019 – all the features in the emirates app are now available in arabic bringing the total number of languages supported to 19 the emirates app currently receives an average of 600 000 monthly downloads and allows users to search book and manage their flights as well as their emirates skywards accounts emirates is the only airline globally to have its mobile app available in 19 languages including arabic english traditional and simplified chinese czech french german greek italian japanese korean portuguese brazil portugal polish russian spanish thai and turkish in recent years the airline has been using analytical and customer behaviour insights to constantly improve its digital channels last financial year a quarter of all ticket sales were made on its web and mobile channels and over 40 of customers checked in online for their flights “ we have worked very hard to ensure our customers enjoy the same high quality emirates experience in the digital world as they do when enjoying our award winning physical product and service our app has become a useful travel companion for more than 1 5 million travellers a month and it ensures a seamless customer journey on the go we will continue to invest in mobile to provide an enjoyable customer experience and to make our customers ’ travel journey as seamless as possible ” said alex knigge senior vice president corporate communications marketing and brand digital earlier this year the emirates app was enhanced with new technology allowing customers to create bespoke playlists of their inflight entertainment ahead of their travels and sync it to their seats once on board providing a world class travel experience leveraging cutting edge digital technologies the airline has focused on elevating its digital customer experience by leveraging cutting edge technology last year emirates introduced 3d seat models becoming the first airline to introduce web virtual reality vr technology on its digital platform the 3d seat model is a visualisation engine that displays an immersive 3d 360 degree view of the interior of the emirates a380 and all the emirates b777 aircraft types allowing users to navigate through the economy business and first class cabins as well as the iconic onboard lounge and shower spa on the a380 using navigational hotspots the airline clinched the ‘ best digital strategy ’ award for this innovation at this year ’ s gulf customer experience awards the vr technology is being deployed to other functions of the airline and emirates com will soon host virtual models of its airport lounges across the world emirates ’ digital channels continue to push boundaries as it explores more emerging technology and prepares to integrate artificial intelligence ai to improve the customer experience later this year the emirates app is free to download on ios or android devices end,dubai uae may features emirates app available arabic bringing total number languages supported emirates app currently receives average monthly downloads allows users search book manage flights well emirates skywards accounts emirates airline globally mobile app available languages including arabic english traditional simplified chinese czech french german greek italian japanese korean portuguese brazil portugal polish russian spanish thai turkish recent years airline using analytical customer behaviour insights constantly improve digital channels last financial year quarter ticket sales made web mobile channels customers checked online flights worked hard ensure customers enjoy high quality emirates experience digital world enjoying award winning physical product service app become useful travel companion million travellers month ensures seamless customer journey go continue invest mobile provide enjoyable customer experience make customers travel journey seamless possible alex knigge senior vice president corporate communications marketing brand digital earlier year emirates app enhanced new technology allowing customers create bespoke playlists inflight entertainment ahead travels sync seats board providing world class travel experience leveraging cutting edge digital technologies airline focused elevating digital customer experience leveraging cutting edge technology last year emirates introduced seat models becoming first airline introduce web virtual reality vr technology digital platform seat model visualisation engine displays immersive degree view interior emirates emirates aircraft types allowing users navigate economy business first class cabins well iconic onboard lounge shower spa using navigational hotspots airline clinched best digital strategy award innovation year gulf customer experience awards vr technology deployed functions airline emirates soon host virtual models airport lounges across world emirates digital channels continue push boundaries explores emerging technology prepares integrate artificial intelligence ai improve customer experience later year emirates app free download ios android devices end,dubai uae may feature emirate app available arabic bring total number language support emirate app currently receive average monthly downloads allow user search book manage flight well emirates skywards account emirates airline globally mobile app available language include arabic english traditional simplify chinese czech french german greek italian japanese korean portuguese brazil portugal polish russian spanish thai turkish recent year airline use analytical customer behaviour insight constantly improve digital channel last financial year quarter ticket sale make web mobile channel customer check online flight work hard ensure customer enjoy high quality emirates experience digital world enjoy award win physical product service app become useful travel companion million traveller month ensure seamless customer journey go continue invest mobile provide enjoyable customer experience make customer travel journey seamless possible alex knigge senior vice president corporate communication market brand digital earlier year emirates app enhanced new technology allow customer create bespoke playlist inflight entertainment ahead travel sync seat board provide world class travel experience leverage cut edge digital technology airline focus elevate digital customer experience leverage cut edge technology last year emirate introduce seat model become first airline introduce web virtual reality vr technology digital platform seat model visualisation engine display immersive degree view interior emirates emirates aircraft type allow user navigate economy business first class cabin well iconic onboard lounge shower spa use navigational hotspot airline clinch best digital strategy award innovation year gulf customer experience award vr technology deploy function airline emirates soon host virtual model airport lounge across world emirates digital channel continue push boundary explore emerge technology prepares integrate artificial intelligence ai improve customer experience later year emirates app free download io android device end,454,452,470,276
