url,domain,year,date,category,judul,konten
https://www.emirates.com/media-centre/the-emirates-app-now-launches-on-iphone-opening-the-door-to-an-enhanced-travel-experience/,www.emirates.com,2014,16-11-2014,Operational,"‘The Emirates App’ now launches on iPhone, opening the door to an enhanced travel experience","Dubai, UAE, 16 November 2014 – Building on the successful launch of The Emirates App for iPad earlier this year, Emirates airline has now increased its mobile presence with the launch of The Emirates App for iPhone on the App Store. Already the most popular travel app in 25 countries with a 4.5 star rating, The Emirates App for iPhone has enhanced features such as the ability to check-in and download boarding passes directly to Passbook. The app also features push notifications for check-in, flight boarding, gate changes, and baggage belt numbers, greatly improving the travel experience by proactively alerting customers to critical travel information. Customers can directly download the app or visit the App Store and search for ‘Emirates’. The Emirates App for iPhone also makes it easier for Emirates customers to manage every aspect of their booking, whether on the road, in the air, or in the comfort of their homes. They can book flights, select seats and meals, manage their Emirates Skywards frequent flyer accounts, check in online, and download their boarding pass directly from the app, amongst other features. Personal flight details, credit card information, and product and service information are stored in the app, so users can view it offline too. “There is no doubt that our customers increasingly want to use their mobile devices and tablets to book and manage their travel. The Emirates App has been designed to address their needs, and make it easier and more convenient to interact with Emirates via their mobile devices,” said Boutros Boutros, Divisional Senior Vice President Corporate Communications, Marketing and Brand at Emirates. “We have seen tremendously positive response to both our iPad and iPhone apps to date. Downloads and usage figures continue to rise, and feedback has been good. iPhone represents the majority of the mobile traffic to our websites, and therefore we have launched on iOS first. Work is underway for an Android version, even as we continue to look at new features for our iPad and iPhone apps.” With The Emirates App, users can book flights and view their personal travel itinerary on the go, store and use their boarding pass offline with Passbook integration, get push alerts for chauffeur-drive service, flight boarding, seat selection, gate changes, baggage belt numbers (Dubai), and check-in, manage every aspect of their booking from seat selection to dietary requirements, book complimentary Chauffeur-drive service for First Class and Business Class travellers, and register for Emirates Skywards membership through the app to start collecting Skywards Miles, view their balance and history, and use their Miles to pay for flights and upgrades."
https://www.emirates.com/media-centre/emirates-expands-its-mobile-footprint-launches-an-android-app,www.emirates.com,2015,18-05-2015,Operational,"Emirates expands its mobile footprint, launches an Android app","The Emirates App now available on the world’s largest mobile platform. Key milestone for Emirates as it continues its charge in the mobile app space. Gives passengers more control over their travel experience. DUBAI, UAE, 18th May, 2015 – On the heels of the successful launch of its Apple Watch app, Emirates announced today the debut of the Emirates App for Android, the world’s largest mobile platform. With more than one hundred thousand monthly users of its iPhone, iPad and Apple Watch apps, Emirates is ramping up its efforts to enhance its passengers’ travel experience through mobile technologies. Developed in-house, the Emirates App for Android is a true personal journey planner, enabling users to book flights and review travel itineraries, manage every aspect of a booking from seat selection to on-board menu and what’s on ice, download their boarding pass directly to Google Now or send it to a phone via SMS or email, receive quick updates on flight boarding and gate changes, get notifications about the Chauffeur-drive service, verify the status of a flight and sign up for alerts to know when it has departed or arrived, and manage all the details of their Skywards account such as favourite destinations, aisle or window seats, and preferred newspaper. ""Our passengers are mobile and increasingly reliant on mobile devices to stay connected, no matter where they are in the world,"" said Alex Knigge, Emirates’ Senior Vice President – Digital. ""We believe the right mobile technology can significantly improve our customers' experience. As a result, Emirates’ mobile strategy is aggressive and a key element of our digital roadmap. We aim to be trail blazers in the airline industry when it comes to mobile technologies."" During the development of the Android app, Emirates conducted testing with employees and Skywards members. Feedback from these users was instrumental in fine tuning the overall experience. ""With the popularity of Emirates' first app for iPhone, many customers have asked for the Emirates App for Android. In fact, half of all users who access our website via mobile devices are on the Android platform,"" commented Alex Knigge, Emirates’ Senior Vice President - Digital. ""Not only does this meet the needs of many of our customers while they're on the move, it also paves the way for innovation on other devices that use the Android platform."" Emirates continues to enhance its existing apps and develop new technologies that will benefit customers using a variety of mobile devices. For customers on-the-go who do not have iPhones, iPads or Android devices, Emirates also offers mobile.emirates.com as a mobile solution. Customers can download the free app from the Android Market. To download the app, please visit https://play.google.com/store/apps/details?id=com.emirates.ek.android. For more information, please visit http://www.emirates.com/english/flying/emirates-app/index.aspx."
https://www.emirates.com/media-centre/emirates-app-hits-20-million-downloads-with-strong-mobile-strategy-and-consumer-uptake/,www.emirates.com,2020,4-03-2020,General,Emirates app hits 20 million downloads with strong mobile strategy and consumer uptake,"Dubai, UAE, 21 May 2019 – All the features in the Emirates app are now available in Arabic, bringing the total number of languages supported to 19. The Emirates app currently receives an average of 600,000 monthly downloads and allows users to search, book, and manage their flights as well as their Emirates Skywards accounts. Emirates is the only airline globally to have its mobile app available in 19 languages, including Arabic, English, Traditional and Simplified Chinese, Czech, French, German, Greek, Italian, Japanese, Korean, Portuguese (Brazil & Portugal), Polish, Russian, Spanish, Thai, and Turkish. In recent years, the airline has been using analytical and customer behaviour insights to constantly improve its digital channels. Last financial year, a quarter of all ticket sales were made on its web and mobile channels and over 40% of customers checked in online for their flights. “We have worked very hard to ensure our customers enjoy the same high-quality Emirates experience in the digital world as they do when enjoying our award-winning physical product and service. Our app has become a useful travel companion for more than 1.5 million travellers a month and it ensures a seamless customer journey on the go. We will continue to invest in mobile to provide an enjoyable customer experience and to make our customers’ travel journey as seamless as possible,” said Alex Knigge, Senior Vice President, Corporate Communications, Marketing and Brand (Digital). Earlier this year, the Emirates app was enhanced with new technology allowing customers to create bespoke playlists of their inflight entertainment ahead of their travels and sync it to their seats once on board, providing a world-class travel experience. Leveraging cutting-edge digital technologies, the airline has focused on elevating its digital customer experience by leveraging cutting-edge technology. Last year, Emirates introduced 3D seat models, becoming the first airline to introduce web virtual reality (VR) technology on its digital platform. The 3D seat model is a visualisation engine that displays an immersive 3D 360-degree view of the interior of the Emirates A380 and all the Emirates B777 aircraft types, allowing users to navigate through the Economy, Business, and First Class cabins, as well as the iconic Onboard Lounge and Shower Spa on the A380 using navigational hotspots. The airline clinched the ‘Best Digital Strategy’ award for this innovation at this year’s Gulf Customer Experience Awards. The VR technology is being deployed to other functions of the airline, and emirates.com will soon host virtual models of its airport lounges across the world. Emirates’ digital channels continue to push boundaries as it explores more emerging technology and prepares to integrate Artificial Intelligence (AI) to improve the customer experience later this year. The Emirates app is free to download on iOS or Android devices. -End-"
https://www.emirates.com/media-centre/emirates-forges-partnerships-with-international-congress-and-convention-association-icca-idp-education-and-renews-long-standing-relationship-with-huawei/?utm_source=chatgpt.com,www.emirates.com,2025,30-04-2025,General,"Emirates forges partnerships with International Congress and Convention Association (ICCA), IDP Education and renews long-standing relationship with Huawei","Dubai, UAE, 30 April 2025: Emirates has forged new partnerships with the International Congress and Convention Association (ICCA), IDP Education, and has expanded its long-standing relationship with Huawei on the sidelines of Arabian Travel Market. These partnerships will enable the airline to tap into and deliver better customer experiences, value and exclusive benefits to diverse customer segments, and seamless access to the airline’s innovative digital solutions. Emirates and the International Congress and Convention Association (ICCA), the global hub for the international association meetings industry, have signed a strategic Memorandum of Understanding (MoU) to enhance collaboration and drive the growth of global business events. This partnership will foster greater synergies between air travel and international meetings, incentives, conferences, and exhibitions (MICE). Through this agreement, both organizations aim to facilitate more seamless connectivity for association meetings, support destination development strategies, and empower the global events ecosystem through knowledge exchange and capacity building. The MoU is also aligned with Dubai’s strategic ambitions to assert its position as a world-leading destination for international conferences and reinforces ICCA’s ongoing efforts to engage with key industry leaders in shaping the future of business events. Every year, the city hosts hundreds of major events and conferences, welcoming millions of visitors, and the MICE sector is instrumental in supporting the emirate's D33 economic agenda. Emirates has also signed an MoU with IDP Education to establish a strategic partnership that will enhance the travel experience for students and educators, support their educational mobility, and strengthen the airline’s reach across key education centres in its network. IDP Education is a global leader in international education services, helping students achieve their study abroad goals through a network of over 210 student placement offices across 35 countries. With more than 55 years of experience, IDP has supported hundreds of thousands of students in pursuing their education in top global destinations, including Australia, the United Kingdom, Canada, the United States, Ireland, and New Zealand. Both organisations will align efforts to boost student accessibility to global study destinations by offering a special fare programme designed for students aged 16 to 31, additional baggage allowance, flexible booking options, and more value-added benefits planned in the next phase of partnership. The partnership will commence for IDP students in the Middle East and North Africa, with plans to scale offers and joint initiatives across key outbound education markets in the airline’s network. Students can access Emirates’ special discounts via the IDP.com website. The airline will also explore logistical support for IDP’s regional and global events, including conferences, fairs, and assessment activities, while leveraging insights to understand travel trends to further adapt the student programme. Emirates and Huawei have also signed a Memorandum of Understanding (MoU), reinforcing their long-standing partnership focused on digital innovation initiatives that drive visibility for both brands across key global markets. The agreement outlines a broad framework for collaboration between Emirates and Huawei that includes joint campaigns, enhanced media presence, co-branded content, and integrated customer engagement strategies, particularly focused on the Middle East, North Africa, and mainland China. Under the expanded agreement, Emirates will become one of the first airline brands to adopt and launch new Huawei services, including the global release of the HarmonyOS NEXT watch app. Both Emirates and Huawei will continue to work closely to develop the Emirates App on Huawei’s AppGallery platform, ensuring consistency of quality and user experience. The tech powerhouse will aim to drive increased awareness of the Emirates–Huawei partnership across mainland China and the Middle East and North Africa via integrated communications including press events, social media platforms, and media outreach. Huawei will also extend its support to Emirates’ upcoming Shenzhen route launch in July through coordinated promotional efforts. Emirates and Huawei first established a strategic partnership in early 2020, a move that expanded the user base of the Emirates App by making it available on the AppGallery of Huawei’s smart devices."
https://www.executivetraveller.com/emirates-launches-iphone-app?,www.executivetraveller.com,2014,17-11-2014,Operational,Emirates launches iPhone app,"Emirates passengers can now book flights, check-in on the go and keep an eye on their journey using ‘The Emirates App’ for iPhone, now available for download via the iTunes Store. Push notifications remind jetsetters when online check-in opens, when the flight is called for boarding and if the departure gate changes, while also guiding you to the correct baggage carousel if you’re breaking your journey in Dubai.Although not available when flying from Australia, boarding passes can saved to Passbook for later retrieval at the airport – avoiding that unnecessary pit stop at the traditional check-in desk if you’re not weighed down by a checked bag. “There is no doubt that our customers increasingly want to use their mobile devices and tablets to book and manage their travel,” said Boutros Boutros, Divisional SVP Corporate Communications, Marketing and Brand at Emirates. “iPhone represents the majority of the mobile traffic to our web sites, and therefore we have launched on iOS first. Work is underway for an Android version, even as we continue to look at new features for our iPad and iPhone apps.”"
https://www.executivetraveller.com/emirates-launches-android-app?,www.executivetraveller.com,2015,19-05-2015,Operational,Emirates launches Android app,"Emirates has finally added an Android app to its mobile platform, on the back of the iPhone, iPad and recently-launched Apple Watch apps. Now available for download, the airline is spruiking the app as ""a true personal journey planner"" through which travellers can book their trip and manage their booking (including seat selection and meals, as well as checking out what's showing on the inflight entertainment system). Mobile boarding passes can be downloaded directly to Google Now or sent to a phone via SMS or email. There are also live flight alerts with updates on flight boarding and gate changes, access to your Skywards frequent flyer account plus notifications about Emirates' chauffeur-drive service. Emirates says the app was tested with employees and Skywards members to fine-tune the product before release.""With the popularity of Emirates' first app for iPhone, many customers have asked for the Emirates App for Android"" said Alex Knigge, Emirates’ Senior Vice President for Digital. ""In fact, half of all users who access our website via mobile devices are on the Android platform."""
https://www.executivetraveller.com/emirates-wifi-guide?,www.executivetraveller.com,2024,5-03-2024,General,Review: Emirates inflight WiFi,"It’s easy to leave the world behind on international Emirates flights, especially if you’re taking some time out at the superb A380 bar – but you can still keep in touch thanks to the Gulf carrier’s free WiFi service. But there’s a catch: you have to be a member of Emirates’ Skywards frequent flyer program. Even in business and first class, inflight Internet is complimentary only for Skywards members – for everyone else, it can cost USD$3-20 depending on which package you choose. Here’s the rundown: Skywards Blue, Silver, Gold and Platinum members travelling in any class – economy, premium economy, business or first – have free text messaging for their entire flight. This covers apps like iMessage, Facebook Messenger,  WhatsApp, WeChat, Line or Vibe, Skywards Blue, Silver, Gold and Platinum members travelling in first class receive full unlimited Internet access, Skywards Silver, Gold and Platinum members travelling in business class also enjoy full unlimited Internet access, Skywards Platinum members travelling in any class can look forward to full unlimited Internet access. Entering a frequent flyer number from the loyalty program of a partner airline such as Qantas cuts no ice here – it’s Skywards or nothing. Our tip: make sure you have the password to your Emirates Skywards account on hand, because you’ll need this to log into the free WiFi on board. The system has no way to look up your password or to set a new password, and the flight attendants can’t help in this regard. At least without your Skywards login you can still watch live TV streamed from the BBC World Service, CNN International, Sky News Arabia and Sport 24. During a recent Emirates A380 flight from Sydney to Dubai, Executive Traveller found the connection ran at a decent clip: while certainly not zippy, it was far from sluggish: we’d describe it as “usable-with-patience”. A small WiFi icon at top-right of the Emirates WiFi portal window shows how many active users there are at any time, and even when sharing the connection with 30-60 other flyers it held up well. That said, there were certainly times during the flight when for no apparent reason the WiFi connection became slower and slower, to the point of being frustratingly unusable, before it would eventually bounce back to normality. If you don’t hold suitable Skywards status, or have forgotten your password and are thus unable to log in, then you’ll be up for the following: Unlimited text-only chat: USD$3-6 depending on the length of the flight,Unlimited WiFi: USD$10-20 depending on the length of the flight Emirates WiFi FAQs. Does Emirates have inflight WiFi? Yes, Emirates offers sky-high WiFi on practically every flight. Both complimentary access and paid plans are available. Which Emirates flights have WiFi? The entire Emirates fleet is outfitted with inflight internet. No matter whether you are travelling on an Airbus A380 or a Boeing 777, you should be able to browse online while at cruising altitude, bar any technical malfunctions or while flying over restricted zones. Scheduled to enter service in mid-2024, the Gulf carrier’s latest Airbus A350 aircraft will also feature high-speed internet access, in the form of Inmarsat’s Global Xpress (GX) satellite network. How much does Emirates WiFi cost? Paid WiFi plans on Emirates costs vary depending on your Skywards membership tier, travel class and your route. As a guide, the available plans are: Unlimited chat: Connect free to all your favourite text apps (WhatsApp, iMessage, Facebook Messenger, WeChat, Line or Viber) for the whole flight, WiFi for the whole flight: USD $9.99 (AUD $14.50) - USD $19.99 (AUD $29) depending on the length of the flight, Easy connect - available in selected regions: USD $9.99 (AUD $14.50) for 30 minutes with no data limit. Does Emirates have free WiFi? Yes, Emirates has two forms of free WiFi, though both are only available to Emirates Skywards members. The first option is free unlimited chat, which allows Emirates Skywards Blue members travelling in business class or Emirates Skywards Gold members travelling in economy to use WhatsApp, Messenger and other text services for free. For those wanting to access free WiFi for the whole flight, the requirements are as follows:  Passengers travelling in first and business class receive unlimited free WiFi for all Skywards members (Blue, Silver, Gold, Platinum) In economy passengers, Skywards Gold and Platinum members only receive unlimited free WiFi To take advantage of this offer, you must have your Skywards number linked to the booking at least 24 hours before take-off. Onboard, you’ll use your membership number and password to log-in. How fast is Emirates WiFi? Emirates WiFi speed depends on various factors, the most significant being the number of users connected at one time. Executive Traveller previously ran speed tests onboard and managed to get downloads between 5-10Mbps, with uploads of just over 1Mbps. These speeds are perfectly fine for light browsing. To help judge the current network load, Emirates handily shows the number of people currently connected. A green WiFi icon means speeds should be higher, while a red WiFi icon means speeds may suffer due to the number of people connected. Do I need the Emirates App to use WiFi? No, WiFi access onboard is independent of the Emirates App. How do I access Emirates WiFi? Turn your device into flight mode, then activate WiFi and connect to the OnAir network after takeoff Either login as a Skywards member to see promotions and discounts, or continue as a guest If you’re eligible for unlimited complimentary internet, that option will show up For non-eligible guests, use a card to pay for a WiFi plan Does Emirates WiFi work during the whole flight? Not exactly – while Emirates inflight internet will work during most of the flight, there are certain times where the connection won’t be active: When the plane is under 10,000 feet (i.e. just after take-off or before landing) When flying over a restricted geographical location Can I use my Emirates WiFi allowance across separate flights? No, Emirates WiFi plans are only valid per flight. If you have connecting flights, you will need to purchase access again for the second flight. Can I use my Emirates WiFi allowance across separate devices? Yes, paid WiFi plans are tied to your personal details. You can log on to a new device and continue your browsing session."
https://www.reuters.com/world/middle-east/emirates-goes-hiring-spree-cabin-crew-pilots-ground-services-staff-2025-07-22/,www.reuters.com,2025,22-07-2025,Operational,"Emirates goes on a hiring spree for cabin crew, pilots and ground services staff","DUBAI, July 22 (Reuters) - The parent of Emirates airline is looking to expand its workforce by 17,300, including hiring more cabin crew, pilots, and engineers as well as cargo, catering, and ground handling staff, it said on Tuesday. Emirates Group, owned by Dubai's sovereign wealth fund ICD, plans to add staff in 350 different roles across the group in the financial year that ends next March, expanding its overall workforce by 14%. The new jobs will include over 4,000 at its ground-handling firm dnata, it said. Emirates plays a key role in positioning Dubai as a global centre. Under a 10-year plan known as D33, the city-state is seeking to grow its economy by investing in tourism and attracting foreign capital, including into real estate. Home to the world's tallest tower, the city-state welcomed 8.68 million overnight visitors between January and May this year, a rise of 7% from a year earlier, according to government data. As part of the recruiting drive, Emirates will be hosting over 2,100 open days and other talent acquisition events in 150 cities throughout the year, it said in the statement."
https://www.reuters.com/world/middle-east/dubais-emirates-signs-preliminary-deal-add-crypto-payments-2025-07-09/,www.reuters.com,2025,9-07-2025,General,Dubai's Emirates signs preliminary deal to add crypto to payments,"DUBAI, July 9 (Reuters) - Emirates has signed a preliminary deal with Crypto.com that will allow its customers to make payments through the crypto trading platform’s payment service, the Gulf carrier’s parent company said in a statement on Wednesday. The partnership, which is expected to come into effect next year, is aimed at tapping into “younger, tech-savvy customer segments who prefer digital currencies,” Adnan Kazim, Emirates’ Deputy President and Chief Commercial Officer, said in the statement. The United Arab Emirates has been emerging as a key hub for crypto companies in recent years, with several setting up operations or seeking to expand, and has enabled payments via cryptocurrencies in sectors such as real estate, school fees, and transportation. In Dubai, which established the Virtual Assets Regulatory Authority (VARA) in 2022 to oversee the growing virtual asset sector, one of the city’s largest free zones, the Dubai Multi Commodities Centre (DMCC), now hosts more than 650 crypto firms. Other airlines have also begun adopting cryptocurrencies as payment options in recent years. In the Gulf region, Dubai-listed Air Arabia (AIRA.DU) announced in May that it would accept UAE dirham-backed stablecoin AE Coin for flight bookings."
https://www.i24news.tv/en/news/international/asia-pacific/1694006281-plane-with-israeli-passengers-onboard-makes-emergency-landing-in-malaysia,www.i24news.tv,2023,6-09-2023,General,Plane with Israeli passengers onboard makes emergency landing in Malaysia,"A plane with 12 Israeli passengers onboard was forced to make an unscheduled landing in Malaysia on Wednesday morning. Emirates flight 354 was traveling from Dubai to Singapore when it encountered severe weather conditions and was forced to make the unscheduled stop. Israel and Malaysia, a Muslim-majority country, do not have diplomatic ties. Nevertheless, the Israeli Foreign Ministry was kept informed of the incident and managed to stay in contact with one of the Israelis onboard to ensure all of the Israeli nationals were safe. Foreign Minister Eli Cohen said, ""The Ministry of Foreign Affairs continues to act for the benefit of the Israeli citizen in exceptional cases like this. From the moment word of the incident became known, I instructed the Director General of the Ministry Ronan Levy to act to resolve the incident and make sure that all Israelis are safe."" The director general held regular situation assessments with the department for Israelis abroad in the consular wing, the situation center, as well as the Israeli missions in Dubai and Singapore. While on Malaysian soil, passengers were not required to get off the plane. After five hours of waiting, the plane was able to depart again and continue on to Singapore."
